County,State,TotalPop,Men,Women,White,Black,Native,Asian,Pacific,Other
Murray , Georgia,39557,49.4,50.6,96.7,1.1,0.1,0.4,0,0.9
Muscogee , Georgia,196670,49,51,44,45.8,0.4,2.4,0.2,2.8
Newton , Georgia,106497,47.5,52.5,51,44,0.3,1.1,0.1,0.9
Oconee , Georgia,37017,49.1,50.9,88.6,5.4,0,4.1,0,0.3
Oglethorpe , Georgia,14784,50,50,78.5,17.7,0.2,0.4,0,1.5
Paulding , Georgia,155840,48.9,51.1,75.4,18.9,0.3,1,0,1.7
Peach , Georgia,26966,48,52,48.8,44.7,0.1,1,0.1,4
Pickens , Georgia,30832,49.4,50.6,89.8,1.3,0.7,0.4,0,0.3
Pierce , Georgia,19164,50.3,49.7,85.6,9.6,0.3,0,0,3.2
Pike , Georgia,18082,49.1,50.9,87.9,10,0,0.4,0,0.4
Polk , Georgia,41621,49,51,77.3,12.2,0.5,0.4,0.1,7.4
Pulaski , Georgia,11295,44.9,55.1,63.2,34.8,0.2,0.1,0,0.3
Putnam , Georgia,21503,48.4,51.6,69,26.2,0,0.8,0,2.7
Rabun , Georgia,16457,49.3,50.7,91.9,2.4,0.6,1,0,3.3
Randolph , Georgia,7087,49.3,50.7,35.2,62.2,0,0,0,1.1
Richmond , Georgia,201463,48.3,51.7,37.8,56.5,0.3,1.9,0.2,1.1
Rockdale , Georgia,89011,47.1,52.9,39.9,53.3,0.1,2,0.4,1.7
Schley , Georgia,5211,48.9,51.1,66.3,29.9,0,0,0,2.9
Screven , Georgia,13990,48.6,51.4,55.6,41.9,0.2,0.7,0,0.7
Seminole , Georgia,8437,47.7,52.3,61.8,33.1,0,0.8,0,1.8
Spalding , Georgia,64719,48.5,51.5,63,33.5,0.4,1,0,0.5
Stephens , Georgia,25676,45.8,54.2,84,11.2,0.2,0.3,0,1.9
Stewart , Georgia,6042,64.4,35.6,26.3,54.1,0.2,2.4,0,14.5
Sumter , Georgia,30352,47.3,52.7,42.6,52.6,0.1,1.2,0,1.9
Talbot , Georgia,6378,47.5,52.5,41.1,57.8,0,0.5,0,0.1
Tattnall , Georgia,25353,58.7,41.3,59.8,29.2,0.3,0.2,0,8.6
Taylor , Georgia,8193,48.2,51.8,57.3,38.4,0,1.5,0,2.2
Telfair , Georgia,16115,58,42,53.7,41.7,0.1,0.1,0,3.7
Terrell , Georgia,8859,47.7,52.3,36.8,59.5,0.1,2.3,0,0.5
Thomas , Georgia,44730,47.4,52.6,60.1,36.4,0.1,0.2,0,0.9
Tift , Georgia,40510,48.2,51.8,64.8,30.1,0.1,1.5,0,2.6
Toombs , Georgia,27048,46.2,53.8,62.6,25.8,0,0.9,0,8.8
Towns , Georgia,11417,46.7,53.3,95.4,1.2,0.6,0.7,0,0.5
Treutlen , Georgia,6777,52.7,47.3,72.3,27.2,0,0,0,0.2
Troup , Georgia,69774,47.9,52.1,58.8,35.7,0.2,2.1,0,1
Turner , Georgia,7962,48.3,51.7,54.9,43,0.2,0.8,0,0.9
Twiggs , Georgia,8284,49.1,50.9,55.6,42.4,0,0.1,0,0
Union , Georgia,22775,48.5,51.5,96.9,0.6,0.7,0.8,0,0.1
Upson , Georgia,26216,47.7,52.3,69.3,28.1,0.3,0.4,0.8,0
Walker , Georgia,68824,49.5,50.5,92.1,4.1,0.2,0.8,0,0.7
Walton , Georgia,90132,48.6,51.4,78.1,17,0.2,1.2,0,1.9
Ware , Georgia,35599,49.9,50.1,64.6,29.8,0.5,1.1,0.1,2.5
Warren , Georgia,5346,46.3,53.7,37.3,61.1,0,0.8,0,0.1
Washington , Georgia,20461,50.6,49.4,44.6,53,0,0.6,0,0.5
Wayne , Georgia,29767,50.6,49.4,75,19.9,0.1,0.5,0,1.7
Wheeler , Georgia,7939,63.1,36.9,56.9,42.6,0.5,0,0,0
White , Georgia,28928,48.8,51.2,94.3,1.4,0.6,0.6,0,1.3
Whitfield , Georgia,103849,49.6,50.4,88.7,4,0.7,1.5,0,4
Wilcox , Georgia,8846,59.3,40.7,62.8,35.3,0.3,0,0,0.8
Wilkes , Georgia,9884,48.3,51.7,53.5,42.5,0,0.9,0,2.4
Wilkinson , Georgia,9078,47.9,52.1,59,39.3,0.1,0,0.1,0.5
Worth , Georgia,20656,48.6,51.4,68.3,28.2,0.4,0.3,0,0.5
Hawaii , Hawaii,197658,49.7,50.3,33.5,0.7,0.4,22.5,12.4,1.8
Honolulu , Hawaii,987638,50.4,49.6,21,2.4,0.2,42.5,9.5,0.9
Kauai , Hawaii,71377,49.6,50.4,32.5,0.7,0.5,34,9,0.6
Maui , Hawaii,165281,49.9,50.1,35.5,0.6,0.1,29.2,11.1,1.4
Ada , Idaho,446052,50.1,49.9,90.7,1.4,0.6,2.7,0.2,1.4
Bannock , Idaho,85065,49.7,50.3,89.8,0.7,3,1.7,0.2,1.5
Bear Lake , Idaho,5962,48.6,51.4,94.7,0.4,0.4,1.2,0,2.4
Benewah , Idaho,9086,50.7,49.3,86.9,0.1,9.5,0.4,0.2,0.1
Bingham , Idaho,45551,49.9,50.1,82.7,0.3,6.5,0.8,0,6.7
Blaine , Idaho,21994,51.2,48.8,95.1,0.4,0,1.1,0.4,0.9
Boise , Idaho,7163,52.8,47.2,94.5,0.2,1.1,1.2,0.1,0.2
Bonner , Idaho,42711,50,50,95.3,0.3,1,0.7,0.1,0.5
Bonneville , Idaho,112397,50,50,88.9,0.5,0.4,0.9,0.1,6.5
Boundary , Idaho,11549,49.7,50.3,94.1,0.3,1,0.8,0.2,0.6
Canyon , Idaho,212230,49.4,50.6,85,0.3,1.1,0.9,0.2,8.7
Caribou , Idaho,6918,51.2,48.8,95.6,0,0.2,0.1,0,1.9
Cassia , Idaho,23615,51,49,93.2,0.2,1.2,0.6,0.1,3.6
Clearwater , Idaho,8640,55.4,44.6,93,0.4,2.2,0.3,0.2,1.6
Elmore , Idaho,26433,52.4,47.6,86.7,2.6,1.4,2.6,0.5,2.3
Franklin , Idaho,13279,51.1,48.9,96.2,0.2,0.6,0.1,0.1,1.6
Fremont , Idaho,12965,52.2,47.8,94.5,0.3,0.3,0.1,0.3,2.1
Gem , Idaho,17052,49,51,90.1,0,1.9,0.7,0,4.7
Gooding , Idaho,15169,52.2,47.8,92.5,0.1,0.8,0.4,0.3,3
Idaho , Idaho,16337,52.3,47.7,93.4,0.2,3.5,0.5,0.1,0.6
Jefferson , Idaho,27969,51.1,48.9,92.1,0.1,0.6,0.5,0.1,4.7
Jerome , Idaho,23431,50.4,49.6,94.1,0.1,0.5,0.6,0.4,2.6
Kootenai , Idaho,153605,49.4,50.6,94.2,0.4,1.4,0.8,0.1,0.5
Latah , Idaho,39239,50.7,49.3,91.7,1,1.2,2.6,0,0.9
Lemhi , Idaho,7798,50.6,49.4,94.8,0,0.2,0,0.1,0.7
Lincoln , Idaho,5321,52,48,93.6,0,0.5,0.2,0,2.5
Madison , Idaho,38705,50.5,49.5,93.7,0.3,0.1,1.2,0.1,1.9
Minidoka , Idaho,20615,50.3,49.7,94.5,0.1,0.9,0.4,0.1,2.3
Nez Perce , Idaho,40155,49.2,50.8,89.7,0.3,6.1,0.8,0.1,0.4
Owyhee , Idaho,11455,51.3,48.7,82.8,0.4,3.2,0.2,0,10
Payette , Idaho,23041,49.8,50.2,90.8,0.3,0.7,0.8,0,3.9
Power , Idaho,7713,49,51,77.7,0.1,5.2,0,0,16.7
Shoshone , Idaho,12526,50,50,93.7,0.4,2.6,0.2,0,0.4
Teton , Idaho,11080,53.1,46.9,88.6,0.2,0.4,0.1,0,8.5
Twin Falls , Idaho,83666,49.2,50.8,92,0.7,0.9,1.8,0.1,2.8
Valley , Idaho,10401,52.7,47.3,98.9,0.1,0.2,0.2,0,0
Washington , Idaho,10025,49.5,50.5,86.7,0.2,1,0.5,0,8.4
Adams , Illinois,66427,48.9,51.1,93.1,4.1,0.4,0.8,0.1,0.2
Alexander , Illinois,6532,47.5,52.5,62.4,33.2,0.7,0.1,0.3,0.3
Bond , Illinois,16712,51.4,48.6,90.9,6.2,0.4,1.2,0,0.6
Boone , Illinois,53606,50.1,49.9,87.4,2.2,0.3,1.2,0,6.5
Brown , Illinois,6675,63.5,36.5,77.4,20.4,0.1,0.6,0,0.5
Bureau , Illinois,33381,49.2,50.8,93.6,0.9,0.1,0.9,0,3.1
Carroll , Illinois,14562,49.6,50.4,95.7,1.1,0.1,0.7,0,0.8
Cass , Illinois,12665,50.2,49.8,89.9,4.7,0.1,0.4,0.3,3.4
Champaign , Illinois,209448,49.9,50.1,72.3,13.3,0.1,10.7,0.1,0.9
Christian , Illinois,33231,50.6,49.4,96.6,1.3,0.2,0.7,0.2,0
Clark , Illinois,15836,49.4,50.6,97,0.3,0.1,0.6,0,0.5
Clay , Illinois,13338,49.4,50.6,97.7,0.5,0.1,0.3,0,0
Clinton , Illinois,37628,52,48,93.6,3.5,0.3,0.6,0,0.6
Coles , Illinois,51736,48.3,51.7,92.8,3.7,0.2,1.2,0.2,0.2
Cook , Illinois,5223719,48.5,51.5,56.6,23.6,0.3,7.2,0,9.7
Crawford , Illinois,19088,51.9,48.1,90.8,5.8,0.1,0.7,0.1,0.4
Cumberland , Illinois,10865,50.2,49.8,97.4,0.1,0.2,0.3,0.1,0.4
DeKalb , Illinois,104200,49.5,50.5,84.3,7.7,0.1,2.5,0,3.1
De Witt , Illinois,16042,50,50,96.2,0.5,0.1,0,0.1,1.2
Douglas , Illinois,19714,49.4,50.6,96.3,0.5,0.6,0.7,0.1,0.7
DuPage , Illinois,931743,49.1,50.9,77.5,4.8,0.2,11.7,0,3.2
Edgar , Illinois,17539,49.1,50.9,97.7,0.3,0.1,1,0,0.1
Edwards , Illinois,6507,49.7,50.3,97,0.7,0.5,0.4,0,0
Effingham , Illinois,34174,49.7,50.3,97.3,0.5,0.1,0.6,0,0.6
Fayette , Illinois,21724,53.3,46.7,93.7,4.8,0.2,0.5,0,0.2
Ford , Illinois,13398,49.4,50.6,95.4,1.1,0.4,0.5,0,1.7
Franklin , Illinois,39127,49.3,50.7,97,0.8,0.3,0.6,0.1,0.3
Fulton , Illinois,35418,52.2,47.8,94.3,3.7,0.3,0.1,0.1,0.3
Gallatin , Illinois,5157,47.9,52.1,96.7,0.2,0.5,0.4,0,0.3
Greene , Illinois,13218,50.4,49.6,97,1.5,0.3,0.2,0,0
Grundy , Illinois,50509,50,50,93.7,1.5,0.1,0.8,0,2.4
Hamilton , Illinois,8221,48.9,51.1,97.8,0.4,0.3,0.6,0,0.9
Hancock , Illinois,18112,49.7,50.3,97.4,0.8,0,0.4,0,0.1
Henderson , Illinois,6884,48.9,51.1,97.8,0.1,0.2,0.7,0,0
Henry , Illinois,49464,49.6,50.4,94.1,1.7,0.2,0.6,0,1.8
Iroquois , Illinois,28169,48.8,51.2,92.8,1,0.1,0.3,0,4.3
Jackson , Illinois,58551,49.5,50.5,76.7,14.9,0.2,3.4,0,1.2
Jasper , Illinois,9598,50.1,49.9,97.4,1,0.2,0,0,0.4
Jefferson , Illinois,38169,51.3,48.7,87.6,8.4,0.1,1.2,0,0.2
Jersey , Illinois,22069,49.1,50.9,96.7,0.5,0.1,0.2,0,0.1
Jo Daviess , Illinois,21834,50.2,49.8,97.1,0.5,0.3,0.4,0.1,0.3
Johnson , Illinois,12602,55.7,44.3,87.4,11.8,0.1,0.3,0,0.1
Kane , Illinois,530839,49.8,50.2,72.6,5.5,0.5,4,0,14.7
Kankakee , Illinois,111061,49.2,50.8,79.7,15.1,0.2,0.9,0,2.1
Kendall , Illinois,124626,49.6,50.4,82.3,7,0.1,3.3,0,4.4
Knox , Illinois,50999,50.5,49.5,85.9,9,0.3,1,0,1.9
Lake , Illinois,703619,49.9,50.1,77.3,6.7,0.3,7.5,0.1,5.4
LaSalle , Illinois,110401,50.2,49.8,93.2,2.5,0.2,0.8,0,1.7
Lawrence , Illinois,16189,55.1,44.9,87,8.9,0.2,0.3,0,1
Lee , Illinois,34527,53.1,46.9,90.4,5.1,0.3,0.6,0.2,1.2
Livingston , Illinois,36324,51.2,48.8,92.9,4,0,0.8,0,0.6
Logan , Illinois,29207,48.6,51.4,88.4,6.3,0.2,0.7,0,1
McDonough , Illinois,30875,48.6,51.4,90.3,4.7,0.2,2.2,0.1,0.3
McHenry , Illinois,307789,49.8,50.2,92.4,1.5,0.1,2.7,0,1.5
McLean , Illinois,173219,48.6,51.4,83,8.4,0.2,5.1,0,1
Macon , Illinois,106512,47.9,52.1,78,14.4,0.3,1.1,0,0.6
Macoupin , Illinois,45719,49.4,50.6,96.9,0.9,0.2,0.5,0,0.2
Madison , Illinois,265670,48.8,51.2,87.5,8.5,0.2,1,0,0.6
Marion , Illinois,38084,49.2,50.8,92.6,3.5,0.2,0.7,0,0.7
Marshall , Illinois,11794,49.8,50.2,97.3,0.4,0.2,0.3,0.2,0.4
Mason , Illinois,13778,49.6,50.4,97.2,0.9,0.1,0.2,0,0.3
Massac , Illinois,14430,47.1,52.9,91,6.2,0,0.2,0,0
Menard , Illinois,12367,48.9,51.1,97.2,0.5,0.1,0.5,0.3,0.1
Mercer , Illinois,15693,49.7,50.3,97,0.6,0.1,0.4,0,0.7
Monroe , Illinois,33936,49.2,50.8,97.7,0.2,0.1,1,0,0.2
Montgomery , Illinois,29009,52.2,47.8,93.3,5,0.2,0.1,0,0.3
Morgan , Illinois,34426,50.2,49.8,90.3,6.9,0.2,0.8,0,0.1
Moultrie , Illinois,14703,48.8,51.2,98,0.5,0.3,0.2,0,0.2
Ogle , Illinois,51328,49.9,50.1,94.2,1,0.3,0.6,0,2.3
Peoria , Illinois,184463,48.5,51.5,72.9,17.6,0.3,4,0,1.6
Perry , Illinois,21384,55,45,88.2,9,0.1,0.6,0,0.5
Piatt , Illinois,16427,49.2,50.8,97.1,0.5,0.1,0.5,0,0.2
Pike , Illinois,15754,49.6,50.4,96.8,1.5,0.3,0.3,0,0.2
Pulaski , Illinois,5611,49,51,65.5,30,0.1,0.3,0,0.4
Putnam , Illinois,5746,51.5,48.5,97,0.6,0,0.4,0,0.3
Randolph , Illinois,32546,55.4,44.6,87,10.2,0.1,0.4,0,0.8
Richland , Illinois,15881,49.2,50.8,96.4,0.9,0.3,1,0,0.6
Rock Island , Illinois,145275,49.3,50.7,80.9,10.1,0.3,2.6,0,2.3
St. Clair , Illinois,263463,48.3,51.7,64.1,30.1,0.2,1.4,0,1.4
Saline , Illinois,24231,49.4,50.6,92.8,2.8,0.2,0.8,0.2,0.4
Sangamon , Illinois,197661,48,52,81.9,12.8,0.1,2,0,0.7
Schuyler , Illinois,7064,52.4,47.6,91,7.3,0.1,0,0,0
Scott , Illinois,5047,48.7,51.3,98.2,0.2,0.3,0.2,0.2,0.1
Shelby , Illinois,21832,49.4,50.6,98.3,0.9,0.1,0.1,0,0.1
Stark , Illinois,5500,49.4,50.6,97.3,0.7,0,1.1,0,0
Stephenson , Illinois,45433,48.4,51.6,86,9.8,0.1,0.8,0,0.4
Tazewell , Illinois,133852,49.3,50.7,95.8,1.3,0.2,1,0,0.3
Union , Illinois,17127,50.2,49.8,94.1,1.4,0.1,0.3,0,1.8
Vermilion , Illinois,78407,49.7,50.3,82.3,14,0.3,0.9,0,0.9
Wabash , Illinois,11573,49,51,96.2,0.8,0.1,1,0,0.2
Warren , Illinois,17338,48.2,51.8,88.1,2.6,0.2,2.6,0,4.3
Washington , Illinois,14155,50.2,49.8,96.7,0.8,0.1,0.2,0.1,0.7
Wayne , Illinois,16487,49.4,50.6,96.7,1.8,0.2,0.3,0,0.1
White , Illinois,14025,49.1,50.9,97.9,0.7,0.1,0.4,0,0
Whiteside , Illinois,56396,49.3,50.7,93.4,1.7,0.1,0.6,0.1,2
Will , Illinois,688697,49.6,50.4,73.4,11.2,0.3,5.3,0,6.8
Williamson , Illinois,67299,49.9,50.1,91.3,4.2,0.2,1.1,0,0.7
Winnebago , Illinois,286174,48.8,51.2,79,12.9,0.3,2.6,0,2.1
Woodford , Illinois,38817,49.8,50.2,96.8,0.6,0,0.5,0,0.4
Adams , Indiana,35195,49.9,50.1,96.8,1.1,0.1,0.4,0,1.3
Allen , Indiana,370016,48.8,51.2,79.2,11.4,0.2,3.7,0,1.6
Bartholomew , Indiana,81893,50.2,49.8,85.3,2,0.2,7,0,3.3
Benton , Indiana,8667,49.9,50.1,97.6,0.6,0,0.2,0.1,0.2
Blackford , Indiana,12129,49.8,50.2,97.3,0.1,0.3,0.4,0,0
Boone , Indiana,64321,49.4,50.6,93.2,1.6,0.1,2.7,0,0.5
Brown , Indiana,15034,49.5,50.5,96.8,1,0,0.6,0,0.2
Carroll , Indiana,19994,50.2,49.8,95.8,0.4,0.3,0.2,0,2.1
Cass , Indiana,38084,50.1,49.9,83.9,1.2,0.5,1.8,0,10.5
Clark , Indiana,115702,48.7,51.3,87.7,6.9,0.1,0.8,0,1.2
Clay , Indiana,26268,49.2,50.8,96.5,0.8,0.1,0.2,0,0.1
Clinton , Indiana,32301,49.5,50.5,93.5,1.1,0.3,0.3,0.1,3.8
Crawford , Indiana,10581,50.7,49.3,97.3,0.3,0.5,0,0,0
Daviess , Indiana,32937,50.5,49.5,95.2,1.8,0,0.1,0,1.6
Dearborn , Indiana,49501,50,50,97.1,0.9,0.3,0.5,0,0.4
Decatur , Indiana,26552,49.7,50.3,96.4,0.6,0.4,1.4,0,0.1
DeKalb , Indiana,42704,49.9,50.1,97.3,0.3,0.1,0.3,0,0.3
Delaware , Indiana,115616,48.2,51.8,88.4,7.3,0.1,1.5,0.2,0.5
Dubois , Indiana,42418,49.6,50.4,94.8,0.4,0.3,0.7,0,2.5
Elkhart , Indiana,203604,49.5,50.5,87.4,5.3,0.2,1.1,0.1,2.6
Fayette , Indiana,23259,49.3,50.7,96.3,2.5,0,0.2,0,0.4
Floyd , Indiana,76809,48.3,51.7,90.1,5.4,0.4,1.1,0,0.8
Fountain , Indiana,16486,50,50,97.5,0.4,0.2,0.5,0,0.3
Franklin , Indiana,22842,50,50,99.5,0.1,0,0.3,0,0
Fulton , Indiana,20212,49.3,50.7,93.7,1,0.5,0.4,0.1,3.3
Gibson , Indiana,33596,50.1,49.9,95.1,2,0.1,0.4,0,0.5
Grant , Indiana,66944,47.7,52.3,88.2,7.6,0.2,0.8,0,0.6
Greene , Indiana,32295,49.6,50.4,97.8,0.4,0,0.3,0.1,0.1
Hamilton , Indiana,316095,48.9,51.1,87.1,3.7,0.1,5.8,0,0.7
Hancock , Indiana,73830,49.1,50.9,94.9,2.1,0.1,0.8,0,0.2
Harrison , Indiana,39712,50,50,96.6,0.8,0.3,0.4,0,0.9
Hendricks , Indiana,160940,50,50,87.7,6.6,0.2,2.8,0,1
Henry , Indiana,48483,52.4,47.6,94.8,2.5,0.3,0.5,0,0.6
Howard , Indiana,82387,48.4,51.6,87.4,7.2,0.5,1.3,0,1
Huntington , Indiana,36378,49.1,50.9,96,1,0.4,0.8,0,1.1
Jackson , Indiana,43938,49.7,50.3,91.4,1.1,0.4,2,0,3.8
Jasper , Indiana,33449,49.9,50.1,94.3,0.8,0.1,0.4,0,2.2
Jay , Indiana,20993,49.5,50.5,97.3,0.4,0.1,0.2,0,0.6
Jefferson , Indiana,32237,47.6,52.4,95.3,2.2,0.3,0.8,0,0.4
Jennings , Indiana,27727,50.2,49.8,97.1,1.1,0.3,0.2,0,0.5
Johnson , Indiana,151564,49.1,50.9,91.8,2.5,0.2,3.1,0,1.2
Knox , Indiana,37409,50.7,49.3,94.2,2.9,0.1,0.8,0.2,0.5
Kosciusko , Indiana,78806,49.8,50.2,93.9,0.7,0.3,1.2,0,2.3
LaGrange , Indiana,38942,50.7,49.3,97.9,0.1,0,0.2,0,0.1
Lake , Indiana,486849,48.4,51.6,61.6,24,0.3,1.4,0,9.5
LaPorte , Indiana,110552,51.6,48.4,82.8,11.1,0.3,0.6,0,2.1
Lawrence , Indiana,45619,49.4,50.6,96.5,0.4,0.6,0.5,0,0.5
Madison , Indiana,129505,50,50,87.8,7.9,0.2,0.6,0,0.8
Marion , Indiana,944523,48.2,51.8,62.3,27.7,0.3,3.1,0.1,3.4
Marshall , Indiana,46595,49.7,50.3,93,1,0.1,0.5,0,3.6
Martin , Indiana,10210,50.5,49.5,98.1,0.8,0.3,0.1,0,0.1
Miami , Indiana,35901,53.2,46.8,90.7,5.2,0.7,0.5,0.1,1.2
Monroe , Indiana,145403,49.8,50.2,86.2,3,0.2,6.6,0,0.6
Montgomery , Indiana,38276,50.8,49.2,95.7,0.8,0.2,0.8,0,0.4
Morgan , Indiana,69727,49.4,50.6,97.5,0.3,0.1,0.7,0,0.2
Newton , Indiana,14018,50,50,96.8,0.3,0.1,0,0,2
Noble , Indiana,47451,50.2,49.8,96.8,0.5,0,0.6,0,0.3
Ohio , Indiana,5887,49.6,50.4,97.2,1.2,0.1,0.4,0,0.5
Orange , Indiana,19547,49.8,50.2,96.4,1.3,0.1,0.5,0,0.5
Owen , Indiana,20878,50.9,49.1,97,0.8,0.2,0.5,0,0
Parke , Indiana,16996,48.3,51.7,95.4,0.4,0.2,0,0.8,0.8
Perry , Indiana,19141,53.4,46.6,94.7,3,0.2,0.5,0,0.2
Pike , Indiana,12411,50.4,49.6,96.9,1,0,0.7,0,0.4
Porter , Indiana,168041,49.5,50.5,91.1,3.7,0.2,1.4,0.1,1.3
Posey , Indiana,25589,50,50,96.3,2,0,0.5,0,0.2
Pulaski , Indiana,12660,50.6,49.4,95.5,0.5,0.2,0.6,0,1.5
Putnam , Indiana,37559,52.5,47.5,93.2,2.7,0.1,1.9,0,0.4
Randolph , Indiana,25076,48.9,51.1,95.9,0.7,0.2,0.1,0,1.2
Ripley , Indiana,28425,49.5,50.5,97.1,0.5,0.4,0.9,0,0.3
Rush , Indiana,16704,49,51,97.1,1.6,0,0.1,0,0.3
St. Joseph , Indiana,269240,48.6,51.4,78.6,13,0.5,2.3,0.1,2.1
Scott , Indiana,23743,49.2,50.8,97.5,0.3,0.3,0.5,0,0.3
Shelby , Indiana,44399,49.4,50.6,94.4,1.1,0.1,0.7,0,2.3
Spencer , Indiana,20526,50.5,49.5,96.8,0.7,0.2,0.3,0.1,0.9
Starke , Indiana,22941,49.3,50.7,96.8,0.4,0.2,0.7,0,1.1
Steuben , Indiana,34474,50.9,49.1,97.1,0.3,0.1,0.4,0,0.3
Sullivan , Indiana,20792,53.7,46.3,93.2,4,0.1,0.5,0,0.2
Switzerland , Indiana,10628,51.8,48.2,96.7,0.9,0,0.5,0.7,0.2
Tippecanoe , Indiana,189294,51.2,48.8,82.3,5.1,0.2,8.1,0,1.9
Tipton , Indiana,15218,50,50,96.2,0.2,0,0.3,0.4,1.2
Union , Indiana,7153,49.1,50.9,97.4,0.1,0,1,0,0
Vanderburgh , Indiana,181313,48.4,51.6,85.4,9.4,0.1,1.2,0.2,1.1
Vermillion , Indiana,15560,50.2,49.8,96.8,1.4,0.3,0.3,0,0.4
Vigo , Indiana,107693,50.8,49.2,87.2,6.5,0.2,1.9,0,0.9
Wabash , Indiana,31631,48.6,51.4,95.7,1,0.6,0.3,0,1.1
Warren , Indiana,8247,50,50,97.8,0.6,0.2,0,0,0.1
Warrick , Indiana,61928,49.1,50.9,93.7,1.7,0.1,2.7,0,0.6
Washington , Indiana,27827,49.9,50.1,98.1,0.1,0.3,0.3,0,0.1
Wayne , Indiana,66613,48.5,51.5,90.1,5.2,0.2,1,0,0.8
Wells , Indiana,27947,49.3,50.7,96.1,0.7,0.1,0.5,0,1.2
White , Indiana,24217,50.1,49.9,91.7,0.4,0.3,0.3,0,5.7
Whitley , Indiana,33649,49.6,50.4,96.9,0.4,0.4,0.4,0,0.1
Adair , Iowa,7124,49.4,50.6,97.8,0.4,0,0.6,0,0.2
Allamakee , Iowa,13880,50.8,49.2,96.8,1.3,0.2,0.5,0.1,0.1
Appanoose , Iowa,12510,49.2,50.8,97.2,0.6,0.2,0.5,0,0.1
Audubon , Iowa,5637,48.9,51.1,97.2,0.4,0.1,0.5,0,0
Benton , Iowa,25626,49.9,50.1,97.5,0.6,0.2,0.3,0,0.2
Black Hawk , Iowa,133009,49.1,50.9,84,9.1,0.5,2.3,0.3,1.6
Boone , Iowa,26399,50.4,49.6,96.4,0.5,0.5,0.4,0.4,0.3
Bremer , Iowa,24782,49.5,50.5,96.2,1,0.3,1.1,0,0.3
Buchanan , Iowa,21125,49.5,50.5,97.4,0.1,0.3,0.6,0,0
Buena Vista , Iowa,20260,50.5,49.5,77.4,2.7,0,10.6,0.5,7.6
Butler , Iowa,14735,50.1,49.9,97.6,0.6,0.2,0.6,0.1,0
Calhoun , Iowa,9780,51.6,48.4,95.7,1.2,0.7,0.3,0,0.4
Carroll , Iowa,20344,49.1,50.9,99.1,0.2,0,0.1,0,0.2
Cass , Iowa,13191,49.6,50.4,97.1,0.3,0.4,0.5,0.2,0.4
Cedar , Iowa,18445,49.7,50.3,97.2,0.7,0.2,0.3,0,0.2
Cerro Gordo , Iowa,42984,48.5,51.5,94.2,1.7,0.5,1.1,0,0.8
Cherokee , Iowa,11468,50.5,49.5,94.8,2.3,0.4,0.7,0,0.1
Chickasaw , Iowa,12099,50.1,49.9,98,0.5,0.3,0.4,0,0.2
Clarke , Iowa,9282,50.5,49.5,97.2,0.1,0.2,0.2,0,1.4
Clay , Iowa,16313,49.4,50.6,95.4,0.7,0,0.5,0,1.1
Clayton , Iowa,17672,50.4,49.6,97.4,1,0.2,0.4,0,0.3
Clinton , Iowa,47218,49,51,93.8,2.7,0.4,0.7,0,0.3
Crawford , Iowa,17132,49.9,50.1,85.8,2.6,0.5,2,0.2,7.1
Dallas , Iowa,84002,49.2,50.8,91.1,1.6,0.1,4.3,0.1,0.6
Davis , Iowa,8885,49.5,50.5,98,0.1,0,0.7,0,0.1
Decatur , Iowa,8044,49.9,50.1,94.9,1.6,0.4,0.7,0.5,0.5
Delaware , Iowa,17258,50.3,49.7,97.7,0.3,0.3,0.4,0,0.3
Des Moines , Iowa,39600,48.8,51.2,90.3,5.9,0.1,0.8,0,0.2
Dickinson , Iowa,17056,49.9,50.1,97.4,0.7,0.3,0.8,0,0.2
Dubuque , Iowa,96802,49.3,50.7,92.9,3.4,0.2,1.2,0.4,0.4
Emmet , Iowa,9551,49.9,50.1,95.7,1.8,0.3,0.4,0,0.9
Fayette , Iowa,19929,50.2,49.8,95.4,2,0,0.7,0,0.3
Floyd , Iowa,15858,49,51,94.4,1.7,0.6,1.4,0.2,0.2
Franklin , Iowa,10245,49.9,50.1,92.1,1.4,0.1,0,0,5.5
Fremont , Iowa,6968,49.8,50.2,95.5,0.5,0.7,0,0,2.2
Greene , Iowa,9003,48.7,51.3,96.1,0.4,0.1,0.7,0,0.7
Grundy , Iowa,12341,49.5,50.5,98.3,0.6,0.1,0.4,0,0
Guthrie , Iowa,10674,50,50,97.2,0,0.3,0.3,0,0.6
Hamilton , Iowa,15110,48.8,51.2,93.7,1.4,0,3,0.2,1.5
Hancock , Iowa,10888,50.5,49.5,96.8,0.6,0.2,0.4,0.1,0.3
Hardin , Iowa,17127,50,50,95.4,1.3,1,0.4,0,0.7
Harrison , Iowa,14143,49.4,50.6,97.4,0.2,0.4,0.3,0.1,0.2
Henry , Iowa,19926,50.8,49.2,92.1,2.3,0.3,2.7,0,0.6
Howard , Iowa,9264,49.4,50.6,98.2,0.3,0,0,0,0.1
Humboldt , Iowa,9566,48.6,51.4,97.4,0.3,0.4,0.4,0,0.5
Ida , Iowa,6916,50,50,97.2,0.1,0.7,0.5,0,0.4
Iowa , Iowa,16207,49.7,50.3,97.3,0.9,0.1,0.2,0,0.4
Jackson , Iowa,19395,50.1,49.9,96.8,0.5,0,0.4,0.7,0.2
Jasper , Iowa,36891,50.6,49.4,95.5,1.9,0.2,0.5,0.2,0.2
